店舗名,エリア,ウェブサイト,食べログURL,住所,Google Maps,最寄駅,評価点数
てけてけ 高田馬場早稲田通り店,新宿区,https://tabelog.com/tokyo/A1305/A130503/13280269/,https://tabelog.com/tokyo/A1305/A130503/13280269/,東京都新宿区高田馬場1-6-15 荒井ビル 2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E9%AB%98%E7%94%B0%E9%A6%AC%E5%A0%B41-6-15%20%E8%8D%92%E4%BA%95%E3%83%93%E3%83%AB%202F,高田馬場駅,3.01
高田馬場 Ristorante En,新宿区,https://tabelog.com/tokyo/A1305/A130503/13149621/,https://tabelog.com/tokyo/A1305/A130503/13149621/,東京都新宿区高田馬場2‐14‐5 サンエスビル １F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E9%AB%98%E7%94%B0%E9%A6%AC%E5%A0%B42%E2%80%9014%E2%80%905%20%E3%82%B5%E3%83%B3%E3%82%A8%E3%82%B9%E3%83%93%E3%83%AB%20%EF%BC%91F,高田馬場駅,3.43
マンゴツリーカフェ ルミネ新宿,新宿区,https://tabelog.com/tokyo/A1304/A130401/13030311/,https://tabelog.com/tokyo/A1304/A130401/13030311/,東京都新宿区西新宿1-1-5 ルミネ新宿1-7F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%A5%BF%E6%96%B0%E5%AE%BF1-1-5%20%E3%83%AB%E3%83%9F%E3%83%8D%E6%96%B0%E5%AE%BF1-7F,新宿駅,3.32
リゾートダイニング&エスニックミールズ コロニアルガーデン 新宿御苑,新宿区,https://tabelog.com/tokyo/A1304/A130402/13228334/,https://tabelog.com/tokyo/A1304/A130402/13228334/,東京都新宿区新宿1-12-9,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%96%B0%E5%AE%BF1-12-9,新宿御苑前駅,3.31
イタ飯バル RICCIO 高田馬場店,新宿区,https://tabelog.com/tokyo/A1305/A130503/13236621/,https://tabelog.com/tokyo/A1305/A130503/13236621/,東京都新宿区高田馬場4-9-9 早稲田13時ホール B1～1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E9%AB%98%E7%94%B0%E9%A6%AC%E5%A0%B44-9-9%20%E6%97%A9%E7%A8%B2%E7%94%B013%E6%99%82%E3%83%9B%E3%83%BC%E3%83%AB%20B1%EF%BD%9E1F,高田馬場駅,3.39
シュラスコ＆肉バル RUMP 四ツ谷しんみち通り店,新宿区,https://tabelog.com/tokyo/A1309/A130902/13226345/,https://tabelog.com/tokyo/A1309/A130902/13226345/,東京都新宿区四谷1-7-27 第43東京ビル 2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E5%9B%9B%E8%B0%B71-7-27%20%E7%AC%AC43%E6%9D%B1%E4%BA%AC%E3%83%93%E3%83%AB%202F,四ツ谷駅,3.23
Mr.Tokyo BURGER’S cafe,新宿区,https://tabelog.com/tokyo/A1304/A130401/13256926/,https://tabelog.com/tokyo/A1304/A130401/13256926/,東京都新宿区新宿2-18-5 第二成光ビル 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%96%B0%E5%AE%BF2-18-5%20%E7%AC%AC%E4%BA%8C%E6%88%90%E5%85%89%E3%83%93%E3%83%AB%201F,新宿三丁目駅,3.47
鉄板Diner JAKEN 新宿店,新宿区,https://tabelog.com/tokyo/A1304/A130401/13196756/,https://tabelog.com/tokyo/A1304/A130401/13196756/,東京都新宿区新宿3-9-9 新宿ワタセイ・タマビル B2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%96%B0%E5%AE%BF3-9-9%20%E6%96%B0%E5%AE%BF%E3%83%AF%E3%82%BF%E3%82%BB%E3%82%A4%E3%83%BB%E3%82%BF%E3%83%9E%E3%83%93%E3%83%AB%20B2F,新宿三丁目駅,3.38
吟遊,新宿区,https://tabelog.com/tokyo/A1309/A130905/13006456/,https://tabelog.com/tokyo/A1309/A130905/13006456/,東京都新宿区矢来町110,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E7%9F%A2%E6%9D%A5%E7%94%BA110,神楽坂駅,3.44
牛たん食べ放題 仙台ホルモン焼肉酒場 ときわ亭 高田馬場店,新宿区,https://tabelog.com/tokyo/A1305/A130503/13257127/,https://tabelog.com/tokyo/A1305/A130503/13257127/,東京都新宿区高田馬場2-14-8 NTビル 2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E9%AB%98%E7%94%B0%E9%A6%AC%E5%A0%B42-14-8%20NT%E3%83%93%E3%83%AB%202F,高田馬場駅,3.02
たくあん・牡丹亭,新宿区,https://tabelog.com/tokyo/A1304/A130401/13017363/,https://tabelog.com/tokyo/A1304/A130401/13017363/,東京都新宿区西新宿4-15-1 西新宿パークハイツ,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%A5%BF%E6%96%B0%E5%AE%BF4-15-1%20%E8%A5%BF%E6%96%B0%E5%AE%BF%E3%83%91%E3%83%BC%E3%82%AF%E3%83%8F%E3%82%A4%E3%83%84,西新宿五丁目駅,3.44
神楽坂 鮨 弥栄,新宿区,https://tabelog.com/tokyo/A1309/A130905/13267490/,https://tabelog.com/tokyo/A1309/A130905/13267490/,東京都新宿区赤城元町3-7 神楽坂ODAビル 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%B5%A4%E5%9F%8E%E5%85%83%E7%94%BA3-7%20%E7%A5%9E%E6%A5%BD%E5%9D%82ODA%E3%83%93%E3%83%AB%201F,神楽坂駅,3.54
新宿こてがえし,新宿区,https://tabelog.com/tokyo/A1304/A130401/13126809/,https://tabelog.com/tokyo/A1304/A130401/13126809/,東京都新宿区新宿3-21-9 ダッキープラザビル　３F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%96%B0%E5%AE%BF3-21-9%20%E3%83%80%E3%83%83%E3%82%AD%E3%83%BC%E3%83%97%E3%83%A9%E3%82%B6%E3%83%93%E3%83%AB%E3%80%80%EF%BC%93F,新宿三丁目駅,3.23
鉄板中華 青山シャンウェイ 神楽坂店,新宿区,https://tabelog.com/tokyo/A1309/A130905/13214283/,https://tabelog.com/tokyo/A1309/A130905/13214283/,東京都新宿区神楽坂2-6-1 ポルタ神楽坂 2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E7%A5%9E%E6%A5%BD%E5%9D%822-6-1%20%E3%83%9D%E3%83%AB%E3%82%BF%E7%A5%9E%E6%A5%BD%E5%9D%82%202F,飯田橋駅,3.49
東京へぎそば 匠 四谷三丁目店,新宿区,https://tabelog.com/tokyo/A1309/A130903/13006255/,https://tabelog.com/tokyo/A1309/A130903/13006255/,東京都新宿区四谷3-13 水喜ビル　Ｂ１Ｆ,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E5%9B%9B%E8%B0%B73-13%20%E6%B0%B4%E5%96%9C%E3%83%93%E3%83%AB%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,四谷三丁目駅,3.41
花椒 SUGAR & SPICE,新宿区,https://tabelog.com/tokyo/A1305/A130503/13268407/,https://tabelog.com/tokyo/A1305/A130503/13268407/,東京都新宿区高田馬場3-5-6 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E9%AB%98%E7%94%B0%E9%A6%AC%E5%A0%B43-5-6%201F,高田馬場駅,3.26
個室会席 北大路 新宿茶寮,新宿区,https://tabelog.com/tokyo/A1304/A130401/13247435/,https://tabelog.com/tokyo/A1304/A130401/13247435/,東京都新宿区西新宿2-6-1 新宿住友ビル 2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%A5%BF%E6%96%B0%E5%AE%BF2-6-1%20%E6%96%B0%E5%AE%BF%E4%BD%8F%E5%8F%8B%E3%83%93%E3%83%AB%202F,都庁前駅,3.09
