店舗名,エリア,最寄駅,ジャンル,食べログURL,住所,Google Maps,評価点数
とんかつ まい泉 青山本店,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13001850/,東京都渋谷区神宮前4-8-5,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D4-8-5,3.46
HohokamDINER,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13281700/,東京都渋谷区神宮前1-14-21 バルビゾン80 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D1-14-21%20%E3%83%90%E3%83%AB%E3%83%93%E3%82%BE%E3%83%B380%201F,3.43
カフェ・マスミヤ,原宿・表参道・青山,原宿駅,東京,https://tabelog.com/tokyo/A1306/A130601/13031506/,東京都渋谷区神宮前1-20-13 ノーサレンダービル　１Ｆ,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D1-20-13%20%E3%83%8E%E3%83%BC%E3%82%B5%E3%83%AC%E3%83%B3%E3%83%80%E3%83%BC%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,3.40
sangria 青山店,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130601/13160707/,東京都港区北青山3-5-14 青山鈴木硝子ビル 2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8C%97%E9%9D%92%E5%B1%B13-5-14%20%E9%9D%92%E5%B1%B1%E9%88%B4%E6%9C%A8%E7%A1%9D%E5%AD%90%E3%83%93%E3%83%AB%202F,3.45
大衆酒場 北海道ながまれ 外苑前,原宿・表参道・青山,外苑前駅,東京,https://tabelog.com/tokyo/A1306/A130603/13202375/,東京都港区北青山2-9-8 セントラルレジデンス北青山アクシルコート 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8C%97%E9%9D%92%E5%B1%B12-9-8%20%E3%82%BB%E3%83%B3%E3%83%88%E3%83%A9%E3%83%AB%E3%83%AC%E3%82%B8%E3%83%87%E3%83%B3%E3%82%B9%E5%8C%97%E9%9D%92%E5%B1%B1%E3%82%A2%E3%82%AF%E3%82%B7%E3%83%AB%E3%82%B3%E3%83%BC%E3%83%88%201F,3.34
Blue Garden,原宿・表参道・青山,原宿駅,東京,https://tabelog.com/tokyo/A1306/A130601/13110171/,東京都渋谷区神宮前1-15-4,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D1-15-4,3.43
TGIフライデーズ 原宿店,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13113003/,東京都渋谷区神宮前6-3-2,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D6-3-2,3.09
十割蕎麦 否否三杯,原宿・表参道・青山,青山一丁目駅,東京,https://tabelog.com/tokyo/A1306/A130603/13225341/,東京都港区北青山1-2-3 青山ビルヂング B1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8C%97%E9%9D%92%E5%B1%B11-2-3%20%E9%9D%92%E5%B1%B1%E3%83%93%E3%83%AB%E3%83%82%E3%83%B3%E3%82%B0%20B1F,3.45
意気な寿し処阿部 青山店,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13250987/,東京都渋谷区神宮前5-46-7 GEMS青山CROSS B1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D5-46-7%20GEMS%E9%9D%92%E5%B1%B1CROSS%20B1F,3.45
エル フォー ユー,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13213263/,東京都港区南青山3-9-3 池上ビル 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B13-9-3%20%E6%B1%A0%E4%B8%8A%E3%83%93%E3%83%AB%201F,3.47
LINA STORES,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13261306/,東京都港区北青山3-10-5 スプリングテラス表参道 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8C%97%E9%9D%92%E5%B1%B13-10-5%20%E3%82%B9%E3%83%97%E3%83%AA%E3%83%B3%E3%82%B0%E3%83%86%E3%83%A9%E3%82%B9%E8%A1%A8%E5%8F%82%E9%81%93%201F,3.49
UMAMI BURGER 青山店,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13206538/,東京都港区北青山3-15-5 ポルトフィーノ 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8C%97%E9%9D%92%E5%B1%B13-15-5%20%E3%83%9D%E3%83%AB%E3%83%88%E3%83%95%E3%82%A3%E3%83%BC%E3%83%8E%201F,3.42
カフェ・マディ 青山店,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13012692/,東京都港区南青山5-8-1 セーヌアキラ 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B15-8-1%20%E3%82%BB%E3%83%BC%E3%83%8C%E3%82%A2%E3%82%AD%E3%83%A9%201F,3.45
Mar Mare,原宿・表参道・青山,外苑前駅,東京,https://tabelog.com/tokyo/A1306/A130603/13280978/,東京都港区北青山2-7-25 神宮外苑ビル 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8C%97%E9%9D%92%E5%B1%B12-7-25%20%E7%A5%9E%E5%AE%AE%E5%A4%96%E8%8B%91%E3%83%93%E3%83%AB%201F,3.41
タヒチ,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13010738/,東京都港区南青山4-27-17,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B14-27-17,3.51
Q-pot CAFE. 表参道本店,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13146636/,東京都渋谷区神宮前3‐4‐8 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D3%E2%80%904%E2%80%908%201F,3.39
A to Z cafe,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13021722/,東京都港区南青山5-8-3 equboビル 5F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B15-8-3%20equbo%E3%83%93%E3%83%AB%205F,3.56
中国茶房8 青山店,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13182640/,東京都渋谷区神宮前5-51-8 ラポルト青山 B1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D5-51-8%20%E3%83%A9%E3%83%9D%E3%83%AB%E3%83%88%E9%9D%92%E5%B1%B1%20B1F,3.34
青山 星のなる木,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13019450/,東京都渋谷区神宮前5-51-8 ラ・ポルト青山　４Ｆ,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D5-51-8%20%E3%83%A9%E3%83%BB%E3%83%9D%E3%83%AB%E3%83%88%E9%9D%92%E5%B1%B1%E3%80%80%EF%BC%94%EF%BC%A6,3.47
ひごの屋 表参道店,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13034811/,東京都港区南青山3-18-17 エイジービル　Ｂ１Ｆ,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B13-18-17%20%E3%82%A8%E3%82%A4%E3%82%B8%E3%83%BC%E3%83%93%E3%83%AB%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,3.09
JENNIFER SEVEN,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13275425/,東京都渋谷区神宮前6-12-6 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D6-12-6%201F,3.38
YONA YONA BEER WORKS 青山店,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13188200/,東京都港区南青山3-18-20 松本ビル B1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B13-18-20%20%E6%9D%BE%E6%9C%AC%E3%83%93%E3%83%AB%20B1F,3.48
BEYOND SWEETS 表参道店,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13290594/,東京都港区南⻘山3-13-9 ⻘山パティオ 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E2%BB%98%E5%B1%B13-13-9%20%E2%BB%98%E5%B1%B1%E3%83%91%E3%83%86%E3%82%A3%E3%82%AA%201F,3.31
神宮前 らかん・果,原宿・表参道・青山,外苑前駅,東京,https://tabelog.com/tokyo/A1306/A130603/13229558/,東京都渋谷区神宮前3-7-8 ブレノワール青山ビル 1・2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D3-7-8%20%E3%83%96%E3%83%AC%E3%83%8E%E3%83%AF%E3%83%BC%E3%83%AB%E9%9D%92%E5%B1%B1%E3%83%93%E3%83%AB%201%E3%83%BB2F,3.48
蕎麦青乃,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13239195/,東京都港区南青山5-7-17 B1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B15-7-17%20B1F,3.38
